Search Method,Title,Authors (abbr),Authors,Source Title,Publication Year,Volume,Issue,DOI,Unique Identifier,Classification,Spatial,Type
Web of Science,Uncertainties in climate responses to past land cover change: First results from the LUCID intercomparison study,Pitman et al.,"Pitman, A. J.; de Noblet-Ducoudre, N.; Cruz, F. T.; Davin, E. L.; Bonan, G. B.; Brovkin, V.; Claussen, M.; Delire, C.; Ganzeveld, L.; Gayler, V.; van den Hurk, B. J. J. M.; Lawrence, P. J.; van der Molen, M. K.; Mueller, C.; Reick, C. H.; Seneviratne, S. I.; Strengers, B. J.; Voldoire, A.",GEOPHYSICAL RESEARCH LETTERS,2009,36,NA,10.1029/2009GL039076,69,Exclude,,One-way coupling
Web of Science,"The underpinnings of land-use history: three centuries of global gridded land-use transitions, wood-harvest activity, and resulting secondary lands",Hurtt et al.,"Hurtt, G. C.; Frolking, S.; Fearon, M. G.; Moore, B.; Shevliakova, E.; Malyshev, S.; Pacala, S. W.; Houghton, R. A.",GLOBAL CHANGE BIOLOGY,2006,12,7,10.1111/j.1365-2486.2006.01150.x,70,Follow Up,,Linking tool
Web of Science,Modeling global residential sector energy demand for heating and air conditioning in the context of climate change,Isaac et al.,"Isaac, Morna; van Vuuren, Detlef P.",ENERGY POLICY,2009,37,2,10.1016/j.enpol.2008.09.051,71,Exclude,,One-way coupling
Web of Science,Evolution of carbon sinks in a changing climate,Fung et al.,"Fung, IY; Doney, SC; Lindsay, K; John, J",PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,2005,102,32,10.1073/pnas.0504949102,72,Exclude,,ESM only
Web of Science,"Natural and anthropogenic climate change: incorporating historical land cover change, vegetation dynamics and the global carbon cycle",Matthews et al.,"Matthews, HD; Weaver, AJ; Meissner, KJ; Gillett, NP; Eby, M",CLIMATE DYNAMICS,2004,22,5,10.1007/s00382-004-0392-2,73,Exclude,,One-way coupling
Web of Science,Vulnerability of US and European electricity supply to climate change,van Vliet et al.,"van Vliet, Michelle T. H.; Yearsley, John R.; Ludwig, Fulco; Voegele, Stefan; Lettenmaier, Dennis P.; Kabat, Pavel",NATURE CLIMATE CHANGE,2012,2,9,10.1038/NCLIMATE1546,74,Exclude,,One-way coupling
Web of Science,Evaluating the influence of different vegetation biomes on the global climate,Snyder et al.,"Snyder, PK; Delire, C; Foley, JA",CLIMATE DYNAMICS,2004,23,4-Mar,10.1007/s00382-004-0430-0,75,Exclude,,
Web of Science,Effect of Anthropogenic Land-Use and Land-Cover Changes on Climate and Land Carbon Storage in CMIP5 Projections for the Twenty-First Century,Brovkin et al.,"Brovkin, V.; Boysen, L.; Arora, V. K.; Boisier, J. P.; Cadule, P.; Chini, L.; Claussen, M.; Friedlingstein, P.; Gayler, V.; van den Hurk, B. J. J. M.; Hurtt, G. C.; Jones, C. D.; Kato, E.; de Noblet-Ducoudre, N.; Pacifico, F.; Pongratz, J.; Weiss, M.",JOURNAL OF CLIMATE,2013,26,18,10.1175/JCLI-D-12-00623.1,76,Exclude,,One-way coupling
Web of Science,Simulating the Biogeochemical and Biogeophysical Impacts of Transient Land Cover Change and Wood Harvest in the Community Climate System Model (CCSM4) from 1850 to 2100,Lawrence et al.,"Lawrence, Peter J.; Feddema, Johannes J.; Bonan, Gordon B.; Meehl, Gerald A.; O'Neill, Brian C.; Oleson, Keith W.; Levis, Samuel; Lawrence, David M.; Kluzek, Erik; Lindsay, Keith; Thornton, Peter E.",JOURNAL OF CLIMATE,2012,25,9,10.1175/JCLI-D-11-00256.1,77,Exclude,,One-way coupling
Web of Science,Identification of anthropogenic climate change using a second-generation reanalysis,Santer et al.,"Santer, BD; Wigley, TML; Simmons, AJ; Kallberg, PW; Kelly, GA; Uppala, SM; Ammann, C; Boyle, JS; Bruggemann, W; Doutriaux, C; Fiorino, M; Mears, C; Meehl, GA; Sausen, R; Taylor, KE; Washington, WM; Wehner, MF; Wentz, FJ",JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES,2004,109,D21,10.1029/2004JD005075,78,Exclude,,ESM only
Web of Science,The (OECTS)-E-bj framework for integrated assessment: Hybrid modeling of transportation,Kim et al,"Kim, Son H.; Edmonds, Jae; Lurz, Josh; Smith, Steven J.; Wise, Marshall",ENERGY JOURNAL,2006,NA,NA,NA,79,Exclude,,IAM only
Web of Science,A special issue on the RCPs,van Vuuren et al.,"van Vuuren, Detlef P.; Edmonds, James A.; Kainuma, Mikiko; Riahi, Keywan; Weyant, John",CLIMATIC CHANGE,2011,109,2-Jan,10.1007/s10584-011-0157-y,80,Exclude,,IAM only
Web of Science,Model projections for household energy use in India,van Ruijven et al.,"van Ruijven, Bas J.; van Vuuren, Detlef P.; de Vries, Bert J. M.; Isaac, Morna; van der Sluijs, Jeroen P.; Lucas, Paul L.; Balachandra, P.",ENERGY POLICY,2011,39,12,10.1016/j.enpol.2011.09.021,81,Exclude,,IAM only
Web of Science,Assessing Climate Change Impacts on Global Hydropower,Hamududu et al.,"Hamududu, Byman; Killingtveit, Aanund",ENERGIES,2012,5,2,10.3390/en5020305,82,Exclude,,One-way coupling
Web of Science,Remote Sensing Evaluation of CLM4 GPP for the Period 2000-09,Mao et al.,"Mao, Jiafu; Thornton, Peter E.; Shi, Xiaoying; Zhao, Maosheng; Post, Wilfred M.",JOURNAL OF CLIMATE,2012,25,15,10.1175/JCLI-D-11-00401.1,83,Exclude,,ESM only
Web of Science,Global Latitudinal-Asymmetric Vegetation Growth Trends and Their Driving Mechanisms: 1982-2009,Mao et al.,"Mao, Jiafu; Shi, Xiaoying; Thornton, Peter E.; Hoffman, Forrest M.; Zhu, Zaichun; Myneni, Ranga B.",REMOTE SENSING,2013,5,3,10.3390/rs5031484,84,Exclude,,ESM only
Web of Science,Modeling the effect of climate change on U.S. state-level buildings energy demands in an integrated assessment framework,Zhou et al.,"Zhou, Yuyu; Clarke, Leon; Eom, Jiyong; Kyle, Page; Patel, Pralit; Kim, Son H.; Dirks, James; Jensen, Erik; Liu, Ying; Rice, Jennie; Schmidt, Laurel; Seiple, Timothy",APPLIED ENERGY,2014,113,NA,10.1016/j.apenergy.2013.08.034,85,Exclude,,One-way coupling
Web of Science,Climate change impacts on future photovoltaic and concentrated solar power energy output,Crook et al.,"Crook, Julia A.; Jones, Laura A.; Forster, Piers M.; Crook, Rolf",ENERGY & ENVIRONMENTAL SCIENCE,2011,4,9,10.1039/c1ee01495a,86,Exclude,,One-way coupling
Web of Science,The vulnerability of renewable energy to climate change in Brazil,Lucena et al.,"Pereira de Lucena, Andre Frossard; Szklo, Alexandre Salem; Schaeffer, Roberto; de Souza, Raquel Rodrigues; Moreira Cesar Borba, Bruno Soares; Leal da Costa, Isabella Vaz; Pereira Junior, Amaro Olimpio; Ferreira da Cunha, Sergio Henrique",ENERGY POLICY,2009,37,3,10.1016/j.enpol.2008.10.029,87,Exclude,,One-way coupling
Web of Science,"The impact of climate, CO2, nitrogen deposition and land use change on simulated contemporary global river flow",Shi et al.,"Shi, Xiaoying; Mao, Jiafu; Thornton, Peter E.; Hoffman, Forrest M.; Post, Wilfred M.",GEOPHYSICAL RESEARCH LETTERS,2011,38,NA,10.1029/2011GL046773,88,Exclude,,
Web of Science,Evaluation of Global Onshore Wind Energy Potential and Generation Costs,Zhou et al.,"Zhou, Yuyu; Luckow, Patrick; Smith, Steven J.; Clarke, Leon",ENVIRONMENTAL SCIENCE & TECHNOLOGY,2012,46,14,10.1021/es204706m,89,Exclude,,Data set
Web of Science,Modeling the potential for thermal concentrating solar power technologies,Zhang et al.,"Zhang, Yabei; Smith, Steven J.; Kyle, G. Page; Stackhouse, Paul W., Jr.",ENERGY POLICY,2010,38,12,10.1016/j.enpol.2010.09.008,90,Exclude,,Data set
Web of Science,The Impact of Climate Change on Nuclear Power Supply,Linnerud et al.,"Linnerud, Kristin; Mideksa, Torben K.; Eskeland, Gunnar S.",ENERGY JOURNAL,2011,32,1,NA,91,Exclude,,One-way coupling
Web of Science,Causes of spring vegetation growth trends in the northern mid-high latitudes from 1982 to 2004,Mao et al.,"Mao, Jiafu; Shi, Xiaoying; Thornton, Peter E.; Piao, Shilong; Wang, Xuhui",ENVIRONMENTAL RESEARCH LETTERS,2012,7,1,10.1088/1748-9326/7/1/014010,92,Exclude,,
Web of Science,Spatiotemporal patterns of evapotranspiration in response to multiple environmental factors simulated by the Community Land Model,Shi et al.,"Shi, Xiaoying; Mao, Jiafu; Thornton, Peter E.; Huang, Maoyi",ENVIRONMENTAL RESEARCH LETTERS,2013,8,2,10.1088/1748-9326/8/2/024012,93,Exclude,,
Web of Science,Trends in Wind Speed at Wind Turbine Height of 80 m over the Contiguous United States Using the North American Regional Reanalysis (NARR),Holt et al.,"Holt, Eric; Wang, Jun",JOURNAL OF APPLIED METEOROLOGY AND CLIMATOLOGY,2012,51,12,10.1175/JAMC-D-11-0205.1,94,Exclude,,
Web of Science,Climate change: impacts on electricity markets in Western Europe,Golombek et al.,"Golombek, Rolf; Kittelsen, Sverre A. C.; Haddeland, Ingjerd",CLIMATIC CHANGE,2012,113,2,10.1007/s10584-011-0348-6,95,Exclude,,One-way coupling
