Search Method,Title,Authors (abbr),Authors,Source Title,Publication Year,Volume,Issue,DOI,Unique Identifier,Classification,Spatial,Type
Web of Science,On the additivity of radiative forcing between land use change and greenhouse gases,Jones et al.,"Jones, Andrew D.; Collins, William D.; Torn, Margaret S.",GEOPHYSICAL RESEARCH LETTERS,2013,40,15,10.1002/grl.50754,96,Exclude,,ESM only
Web of Science,"The effect of global climate change, population distribution, and climate mitigation on building energy use in the US and China",Zhou et al.,"Zhou, Yuyu; Eom, Jiyong; Clarke, Leon",CLIMATIC CHANGE,2013,119,4-Mar,10.1007/s10584-013-0772-x,97,Exclude,,One-way coupling
Web of Science,Scenarios of building energy demand for China with a detailed regional representation,Yu et al.,"Yu, Sha; Eom, Jiyong; Zhou, Yuyu; Evans, Meredydd; Clarke, Leon",ENERGY,2014,67,NA,10.1016/j.energy.2013.12.072,98,Exclude,,IAM only
Web of Science,Integrated assessment of global water scarcity over the 21st century under multiple climate change mitigation policies,Hejazi et al.,"Hejazi, M. I.; Edmonds, J.; Clarke, L.; Kyle, P.; Davies, E.; Chaturvedi, V.; Wise, M.; Patel, P.; Eom, J.; Calvin, K.",HYDROLOGY AND EARTH SYSTEM SCIENCES,2014,18,8,10.5194/hess-18-2859-2014,99,Exclude,,No coupling
Web of Science,Climate simulation of the twenty-first century with interactive land-use changes,Voldoire et al.,"Voldoire, Aurore; Eickhout, Bas; Schaeffer, Michiel; Royer, Jean-Francois; Chauvin, Fabrice",CLIMATE DYNAMICS,2007,29,3-Feb,10.1007/s00382-007-0228-y,100,Include,Global,Integrated Model
Web of Science,Worldwide impacts of climate change on energy for heating and cooling,Labriet et al.,"Labriet, Maryse; Joshi, Santosh R.; Babonneau, Frederic; Edwards, Neil R.; Holden, Philip B.; Kanudia, Amit; Loulou, Richard; Vielle, Marc",MITIGATION AND ADAPTATION STRATEGIES FOR GLOBAL CHANGE,2015,20,7,10.1007/s11027-013-9522-7,101,Exclude,,One-way coupling
Web of Science,Spatial and temporal patterns of global onshore wind speed distribution,Zhou et al.,"Zhou, Yuyu; Smith, Steven J.",ENVIRONMENTAL RESEARCH LETTERS,2013,8,3,10.1088/1748-9326/8/3/034029,102,Exclude,,Data set
Web of Science,Model evaluation and hindcasting: An experiment with an integrated assessment model,Chaturvedi et al.,"Chaturvedi, Vaibhav; Kim, Sonny; Smith, Steven J.; Clarke, Leon; Zhou Yuyu; Kyle, Page; Patel, Pralit",ENERGY,2013,61,NA,10.1016/j.energy.2013.08.061,103,Exclude,,IAM
Web of Science,The representative concentration pathways: an overview,van Vuuren et al.,"van Vuuren, Detlef P.; Edmonds, Jae; Kainuma, Mikiko; Riahi, Keywan; Thomson, Allison; Hibbard, Kathy; Hurtt, George C.; Kram, Tom; Krey, Volker; Lamarque, Jean-Francois; Masui, Toshihiko; Meinshausen, Malte; Nakicenovic, Nebojsa; Smith, Steven J.; Rose, Steven K.",CLIMATIC CHANGE,2011,109,2-Jan,10.1007/s10584-011-0148-z,104,Exclude,,IAM only
Web of Science,Tipping elements in the Earth's climate system,Lenton et al.,"Lenton, Timothy M.; Held, Hermann; Kriegler, Elmar; Hall, Jim W.; Lucht, Wolfgang; Rahmstorf, Stefan; Schellnhuber, Hans Joachim",PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,2008,105,6,10.1073/pnas.0705414105,105,Exclude,,
Web of Science,Prioritizing climate change adaptation needs for food security in 2030,Lobell et al.,"Lobell, David B.; Burke, Marshall B.; Tebaldi, Claudia; Mastrandrea, Michael D.; Falcon, Walter P.; Naylor, Rosamond L.",SCIENCE,2008,319,5863,10.1126/science.1152339,106,Exclude,,
Web of Science,Linking climate change modelling to impacts studies: recent advances in downscaling techniques for hydrological modelling,Fowler et al.,"Fowler, H. J.; Blenkinsop, S.; Tebaldi, C.",INTERNATIONAL JOURNAL OF CLIMATOLOGY,2007,27,12,10.1002/joc.1556,107,Follow Up,,Linking tool
Web of Science,Climate Trends and Global Crop Production Since 1980,Lobell et al.,"Lobell, David B.; Schlenker, Wolfram; Costa-Roberts, Justin",SCIENCE,2011,333,6042,10.1126/science.1204531,108,Exclude,,
Web of Science,Downscaling general circulation model output: a review of methods and limitations,Wilby and Wigley,"Wilby, RL; Wigley, TML",PROGRESS IN PHYSICAL GEOGRAPHY,1997,21,4,10.1177/030913339702100403,109,Follow Up,,Linking tool
Web of Science,"Climate change, deforestation, and the fate of the Amazon",Malhi et al.,"Malhi, Yadvinder; Roberts, J. Timmons; Betts, Richard A.; Killeen, Timothy J.; Li, Wenhong; Nobre, Carlos A.",SCIENCE,2008,319,5860,10.1126/science.1146961,110,Exclude,,
Web of Science,Modelling the role of agriculture for the 20th century global terrestrial carbon balance,Bondeau et al.,"Bondeau, Alberte; Smith, Pascalle C.; Zaehle, Soenke; Schaphoff, Sibyll; Lucht, Wolfgang; Cramer, Wolfgang; Gerten, Dieter; Lotze-Campen, Hermann; Mueller, Christoph; Reichstein, Markus; Smith, Benjamin",GLOBAL CHANGE BIOLOGY,2007,13,3,10.1111/j.1365-2486.2006.01305.x,111,Exclude,,
Web of Science,Indirect radiative forcing of climate change through ozone effects on the land-carbon sink,Sitch et al.,"Sitch, S.; Cox, P. M.; Collins, W. J.; Huntingford, C.",NATURE,2007,448,7155,10.1038/nature06059,112,Exclude,,
Web of Science,Mapping vulnerability to multiple stressors: climate change and globalization in India,O'Brien et al.,"O'Brien, K; Leichenko, R; Kelkar, U; Venema, H; Aandahl, G; Tompkins, H; Javed, A; Bhadwal, S; Barg, S; Nygaard, L; West, J",GLOBAL ENVIRONMENTAL CHANGE-HUMAN AND POLICY DIMENSIONS,2004,14,4,10.1016/j.gloenvcha.2004.01.001,113,Exclude,,
Web of Science,Interpretation of high projections for global-mean warming,Wigley and Raper,"Wigley, TML; Raper, SCB",SCIENCE,2001,293,5529,10.1126/science.1061604,114,Exclude,,
Web of Science,Transport impacts on atmosphere and climate: Shipping,Eyring et al.,"Eyring, Veronika; Isaksen, Ivar S. A.; Berntsen, Terje; Collins, William J.; Corbett, James J.; Endresen, Oyvind; Grainger, Roy G.; Moldanova, Jana; Schlager, Hans; Stevenson, David S.",ATMOSPHERIC ENVIRONMENT,2010,44,37,10.1016/j.atmosenv.2009.04.059,115,Exclude,,
Web of Science,"Potential of biomass energy out to 2100, for four IPCCSRES land-use scenarios",Hoogwijk et al.,"Hoogwijk, M; Faaij, A; Eickhout, B; de Vries, B; Turkenburg, W",BIOMASS & BIOENERGY,2005,29,4,10.1016/j.biombioe.2005.05.002,116,Exclude,,
Web of Science,Pattern scaling - An examination of the accuracy of the technique for describing future climates,Mitchell,"Mitchell, TD",CLIMATIC CHANGE,2003,60,3,10.1023/A:1026035305597,117,Follow Up,,Linking tool
Web of Science,The global impact of ozone on agricultural crop yields under current and future air quality legislation,Van Dingenen et al.,"Van Dingenen, Rita; Dentener, Frank J.; Raes, Frank; Krol, Maarten C.; Emberson, Lisa; Cofala, Janusz",ATMOSPHERIC ENVIRONMENT,2009,43,3,10.1016/j.atmosenv.2008.10.033,118,Exclude,,One-way coupling
Web of Science,Migration as an adaptation to climate change,McLeman et al.,"McLeman, R.; Smit, B.",CLIMATIC CHANGE,2006,76,2-Jan,10.1007/00584-005-900,119,Exclude,,
Web of Science,"Emulating coupled atmosphere-ocean and carbon cycle models with a simpler model, MAGICC6-Part 1: Model description and calibration",Meinshausen et al.,"Meinshausen, M.; Raper, S. C. B.; Wigley, T. M. L.",ATMOSPHERIC CHEMISTRY AND PHYSICS,2011,11,4,10.5194/acp-11-1417-2011,120,Exclude,,Emulator only
Web of Science,Climate change in cities due to global warming and urban effects,McCarthy et al.,"McCarthy, Mark P.; Best, Martin J.; Betts, Richard A.",GEOPHYSICAL RESEARCH LETTERS,2010,37,NA,10.1029/2010GL042845,121,Exclude,,
Web of Science,Short-lived pollutants in the Arctic: their climate impact and possible mitigation strategies,Quinn et al.,"Quinn, P. K.; Bates, T. S.; Baum, E.; Doubleday, N.; Fiore, A. M.; Flanner, M.; Fridlind, A.; Garrett, T. J.; Koch, D.; Menon, S.; Shindell, D.; Stohl, A.; Warren, S. G.",ATMOSPHERIC CHEMISTRY AND PHYSICS,2008,8,6,10.5194/acp-8-1723-2008,122,Exclude,,
Web of Science,The effect of environmental change on human migration,Black et al.,"Black, Richard; Adger, W. Neil; Arnell, Nigel W.; Dercon, Stefan; Geddes, Andrew; Thomas, David S. G.",GLOBAL ENVIRONMENTAL CHANGE-HUMAN AND POLICY DIMENSIONS,2011,21,NA,10.1016/j.gloenvcha.2011.10.001,123,Exclude,,One-way coupling
Web of Science,Feedbacks of terrestrial ecosystems to climate change,Field et al.,"Field, Christopher B.; Lobell, David B.; Peters, Halton A.; Chiariello, Nona R.",ANNUAL REVIEW OF ENVIRONMENT AND RESOURCES,2007,32,NA,10.1146/annurev.energy.32.053006.141119,124,Exclude,,
Web of Science,Potential impacts of human-induced land cover change on East Asia monsoon,Fu,"Fu, CB",GLOBAL AND PLANETARY CHANGE,2003,37,4-Mar,10.1016/S0921-8181(02)00207-2,125,Exclude,,One-way coupling
Web of Science,Imprecise probability assessment of tipping points in the climate system,Kriegler et al.,"Kriegler, Elmar; Hall, Jim W.; Held, Hermann; Dawson, Richard; Schellnhuber, Hans Joachim",PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,2009,106,13,10.1073/pnas.0809117106,126,Exclude,,
Web of Science,COULD REDUCING FOSSIL-FUEL EMISSIONS CAUSE GLOBAL WARMING,Wigley,"WIGLEY, TML",NATURE,1991,349,6309,10.1038/349503a0,127,Exclude,,
Web of Science,Regional climate change over eastern Amazonia caused by pasture and soybean cropland expansion,Sampaio et al.,"Sampaio, Gilvan; Nobre, Carlos; Costa, Marcos Heil; Satyamurty, Prakki; Soares-Filho, Britaldo Silveira; Cardoso, Manoel",GEOPHYSICAL RESEARCH LETTERS,2007,34,17,10.1029/2007GL030612,128,Exclude,,
Web of Science,Integrated global system model for climate policy assessment: Feedbacks and sensitivity studies,Prinn et al.,"Prinn, R; Jacoby, H; Sokolov, A; Wang, C; Xiao, X; Yang, Z; Eckhaus, R; Stone, P; Ellerman, D; Melillo, J; Fitzmaurice, J; Kicklighter, D; Holian, G; Liu, Y",CLIMATIC CHANGE,1999,41,4-Mar,10.1023/A:1005326126726,129,Exclude,,IAM only
Web of Science,Regional carbon dynamics in monsoon Asia and its implications for the global carbon cycle,Tian et al.,"Tian, HQ; Melillo, JM; Kicklighter, DW; Pan, SF; Liu, JY; McGuire, AD; Moore, B",GLOBAL AND PLANETARY CHANGE,2003,37,4-Mar,10.1016/S0921-8181(02)00205-9,130,Exclude,,
Web of Science,Arctic shipping emissions inventories and future scenarios,Corbett et al.,"Corbett, J. J.; Lack, D. A.; Winebrake, J. J.; Harder, S.; Silberman, J. A.; Gold, M.",ATMOSPHERIC CHEMISTRY AND PHYSICS,2010,10,19,10.5194/acp-10-9689-2010,131,Exclude,,
Web of Science,Climate - To hedge or not against an uncertain climate,Yohe et al.,"Yohe, G; Andronova, N; Schlesinger, M",SCIENCE,2004,306,5695,10.1126/science.1101170,132,Exclude,,
Web of Science,The implications of climate policy for the impacts of climate change on global water resources,Arnell et al.,"Arnell, Nigel W.; van Vuuren, Detlef P.; Isaac, Morna",GLOBAL ENVIRONMENTAL CHANGE-HUMAN AND POLICY DIMENSIONS,2011,21,2,10.1016/j.gloenvcha.2011.01.015,133,Exclude,,
Web of Science,Exploring the ancillary benefits of the Kyoto Protocol for air pollution in Europe,van Vuuren et al.,"van Vuuren, DP; Cofala, J; Eerens, HE; Oostenrijk, R; Heyes, C; Klimont, Z; den Elzen, MGJ; Amann, M",ENERGY POLICY,2006,34,4,10.1016/j.enpol.2004.06.012,134,Exclude,,
Web of Science,The impact of climate change on the electricity market: A review,Mideksa et al.,"Mideksa, Torben K.; Kallbekken, Steffen",ENERGY POLICY,2010,38,7,10.1016/j.enpol.2010.02.035,135,Exclude,,
Web of Science,Impact assessment of climate change on rice production in Asia in comprehensive consideration of process/parameter uncertainty in general circulation models,Masutomi et al.,"Masutomi, Yuji; Takahashi, Kiyoshi; Harasawa, Hideo; Matsuoka, Yuzuru",AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2009,131,4-Mar,10.1016/j.agee.2009.02.004,136,Exclude,,
Web of Science,Effects of irrigation and vegetation activity on early Indian summer monsoon variability,Lee et al.,"Lee, Eungul; Chase, Thomas N.; Rajagopalan, Balaji; Barry, Roger G.; Biggs, Trent W.; Lawrence, Peter J.",INTERNATIONAL JOURNAL OF CLIMATOLOGY,2009,29,4,10.1002/joc.1721,137,Exclude,,
Web of Science,"Emulating atmosphere-ocean and carbon cycle models with a simpler model, MAGICC6-Part 2: Applications",Meinshausen et al.,"Meinshausen, M.; Wigley, T. M. L.; Raper, S. C. B.",ATMOSPHERIC CHEMISTRY AND PHYSICS,2011,11,4,10.5194/acp-11-1457-2011,138,Exclude,,Emulator
Web of Science,Impact of future land use and land cover changes on atmospheric chemistry-climate interactions,Ganzeveld et al.,"Ganzeveld, Laurens; Bouwman, Lex; Stehfest, Elke; van Vuuren, Detlef P.; Eickhout, Bas; Lelieveld, Jos",JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES,2010,115,NA,10.1029/2010JD014041,139,Exclude,,
Web of Science,Amazon Deforestation and Climate Change in a Coupled Model Simulation,Nobre et al.,"Nobre, Paulo; Malagutti, Marta; Urbano, Domingos F.; de Almeida, Roberto A. F.; Giarolla, Emanuel",JOURNAL OF CLIMATE,2009,22,21,10.1175/2009JCLI2757.1,140,Exclude,,GCM only
Web of Science,Regional integrated modelling of climate change impacts on natural resources and resource usage in semi-arid Northeast Brazil,Krol et al.,"Krol, Maarten S.; Bronstert, Axel",ENVIRONMENTAL MODELLING & SOFTWARE,2007,22,2,10.1016/j.envsoft.2005.07.022,141,Exclude,,One-way coupling
Web of Science,Responses of energy use to climate change: A climate modeling study,Hadley et al.,"Hadley, Stanton W.; Erickson, David J., III; Hernandez, Jose Luis; Broniak, Christine T.; Blasing, T. J.",GEOPHYSICAL RESEARCH LETTERS,2006,33,17,10.1029/2006GL026652,142,Exclude,,
Web of Science,Ozone pollution from future ship traffic in the Arctic northern passages,Granier et al.,"Granier, Claire; Niemeier, Ulrike; Jungclaus, Johann H.; Emmons, Louisa; Hess, Peter; Lamarque, Jean-Francois; Walters, Stacy; Brasseur, Guy P.",GEOPHYSICAL RESEARCH LETTERS,2006,33,13,10.1029/2006GL026180,143,Exclude,,
Web of Science,How vegetation impacts affect climate metrics for ozone precursors,Collins et al.,"Collins, W. J.; Sitch, S.; Boucher, O.",JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES,2010,115,NA,10.1029/2010JD014187,144,Exclude,,
Web of Science,Assessing 20th century climate-vegetation feedbacks of land-use change and natural vegetation dynamics in a fully coupled vegetation-climate model,Strengers et al.,"Strengers, Bart J.; Mueller, Christoph; Schaeffer, Michiel; Haarsma, Reindert J.; Severijns, Camiel; Gerten, Dieter; Schaphoff, Sibyll; van den Houdt, Roy; Oostenrijk, Rineke",INTERNATIONAL JOURNAL OF CLIMATOLOGY,2010,30,13,10.1002/joc.2132,145,Exclude,,
Web of Science,Perspectives of Northern Sea Route and Northwest Passage in the twenty-first century,Khon et al.,"Khon, V. C.; Mokhov, I. I.; Latif, M.; Semenov, V. A.; Park, W.",CLIMATIC CHANGE,2010,100,4-Mar,10.1007/s10584-009-9683-2,146,Exclude,,
Web of Science,Downscaling socioeconomic and emissions scenarios for global environmental change research: a review,van Vuuren et al.,"van Vuuren, Detlef P.; Smith, Steve J.; Riahi, Keywan",WILEY INTERDISCIPLINARY REVIEWS-CLIMATE CHANGE,2010,1,3,10.1002/wcc.50,147,Follow Up,,Linking tool
Web of Science,Research priorities in land use and land-cover change for the Earth system and integrated assessment modelling,Hibbard et al.,"Hibbard, Kathy; Janetos, Anthony; van Vuuren, Detlef P.; Pongratz, Julia; Rose, Steven K.; Betts, Richard; Herold, Martin; Feddema, Johannes J.",INTERNATIONAL JOURNAL OF CLIMATOLOGY,2010,30,13,10.1002/joc.2150,148,Follow Up,,Commentary
Web of Science,Does climate change knowledge really matter?,Sarewitz et al.,"Sarewitz, Daniel",WILEY INTERDISCIPLINARY REVIEWS-CLIMATE CHANGE,2011,2,4,10.1002/wcc.126,149,Exclude,,
Web of Science,Creating regional climate change scenarios over southern South America for the 2020's and 2050's using the pattern scaling technique: validity and limitations,Cabre et al.,"Fernanda Cabre, Maria; Solman, S. A.; Nunez, M. N.",CLIMATIC CHANGE,2010,98,4-Mar,10.1007/s10584-009-9737-5,150,Exclude,,
Web of Science,Reducing the risk of Atlantic thermohaline circulation collapse: sensitivity analysis of emissions corridors,Zickfeld et al.,"Zickfeld, Kirsten; Bruckner, Thomas",CLIMATIC CHANGE,2008,91,4-Mar,10.1007/s10584-008-9467-0,151,Exclude,,
Web of Science,The coupling of optimal economic growth and climate dynamics,Bahn et al.,"Bahn, Olivier; Drouet, Laurent; Edwards, Neil R.; Haurie, Alain; Knutti, Reto; Kypreos, Socrates; Stocker, Thomas F.; Vial, Jean-Philippe",CLIMATIC CHANGE,2006,79,2-Jan,10.1007/s10584-006-9108-4,152,Include,Global,Integrated Model
Web of Science,Evidence and implications of recent climate change in northern Alaska and other arctic regions,Hinzman et al.,"Hinzman, LD; Bettez, ND; Bolton, WR; Chapin, FS; Dyurgerov, MB; Fastie, CL; Griffith, B; Hollister, RD; Hope, A; Huntington, HP; Jensen, AM; Jia, GJ; Jorgenson, T; Kane, DL; Klein, DR; Kofinas, G; Lynch, AH; Lloyd, AH; McGuire, AD; Nelson, FE; Oechel, WC; Osterkamp, TE; Racine, CH; Romanovsky, VE; Stone, RS; Stow, DA; Sturm, M; Tweedie, CE; Vourlitis, GL; Walker, MD; Walker, DA; Webber, PJ; Welker, JM; Winker, K; Yoshikawa, K",CLIMATIC CHANGE,2005,72,3,10.1007/s10584-005-5352-2,153,Exclude,,
Web of Science,The human dimension of fire regimes on Earth,Bowman et al.,"Bowman, David M. J. S.; Balch, Jennifer; Artaxo, Paulo; Bond, William J.; Cochrane, Mark A.; D'Antonio, Carla M.; DeFries, Ruth; Johnston, Fay H.; Keeley, Jon E.; Krawchuk, Meg A.; Kull, Christian A.; Mack, Michelle; Moritz, Max A.; Pyne, Stephen; Roos, Christopher I.; Scott, Andrew C.; Sodhi, Navjot S.; Swetnam, Thomas W.",JOURNAL OF BIOGEOGRAPHY,2011,38,12,10.1111/j.1365-2699.2011.02595.x,154,Exclude,,
Web of Science,Integrated environmental modeling: A vision and roadmap for the future,Laniak et al.,"Laniak, Gerard F.; Olchin, Gabriel; Goodall, Jonathan; Voinov, Alexey; Hill, Mary; Glynn, Pierre; Whelan, Gene; Geller, Gary; Quinn, Nigel; Blind, Michiel; Peckham, Scott; Reaney, Sim; Gaber, Noha; Kennedy, Robert; Hughes, Andrew",ENVIRONMENTAL MODELLING & SOFTWARE,2013,39,NA,10.1016/j.envsoft.2012.09.006,155,Follow Up,,Commentary
Web of Science,"An environmental narrative of Inland Northwest United States forests, 1800-2000",Hessburg et al.,"Hessburg, PF; Agee, JK",FOREST ECOLOGY AND MANAGEMENT,2003,178,2-Jan,10.1016/S0378-1127(03)00052-5,156,Exclude,,
Web of Science,Determination of time- and height-resolved volcanic ash emissions and their use for quantitative ash dispersion modeling: the 2010 Eyjafjallajokull eruption,Stohl et al.,"Stohl, A.; Prata, A. J.; Eckhardt, S.; Clarisse, L.; Durant, A.; Henne, S.; Kristiansen, N. I.; Minikin, A.; Schumann, U.; Seibert, P.; Stebel, K.; Thomas, H. E.; Thorsteinsson, T.; Torseth, K.; Weinzierl, B.",ATMOSPHERIC CHEMISTRY AND PHYSICS,2011,11,9,10.5194/acp-11-4333-2011,157,Exclude,,
Web of Science,Operational Earthquake Forecasting: State of Knowledge and Guidelines for Utilization,Jordan et al.,"Jordan, Thomas H.; Chen, Yun-Tai; Gasparini, Paolo; Madariaga, Raul; Main, Ian; Marzocchi, Warner; Papadopoulos, Gerassimos; Sobolev, Gennady; Yamaoka, Koshun; Zschau, Jochen",ANNALS OF GEOPHYSICS,2011,54,4,10.4401/ag-5350,158,Exclude,,
Web of Science,Spatial cloud computing: how can the geospatial sciences use and help shape cloud computing?,Yang et al.,"Yang, Chaowei; Goodchild, Michael; Huang, Qunying; Nebert, Doug; Raskin, Robert; Xu, Yan; Bambacus, Myra; Fay, Daniel",INTERNATIONAL JOURNAL OF DIGITAL EARTH,2011,4,4,10.1080/17538947.2011.587547,159,Exclude,,
Web of Science,"The 2010 challenge: Data availability, information needs and extraterrestrial insights",Balmford et al.,"Balmford, A; Crane, P; Dobson, A; Green, RE; Mace, GM",PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,2005,360,1454,10.1098/rstb.2004.1599,160,Exclude,,
Web of Science,Weakening of the stratospheric polar vortex by Arctic sea-ice loss,Kim et al.,"Kim, Baek-Min; Son, Seok-Woo; Min, Seung-Ki; Jeong, Jee-Hoon; Kim, Seong-Joong; Zhang, Xiangdong; Shim, Taehyoun; Yoon, Jin-Ho",NATURE COMMUNICATIONS,2014,5,NA,10.1038/ncomms5646,161,Exclude,,
Web of Science,Modeling the dynamics of the integrated earth system and the value of global ecosystem services using the GUMBO model,Boumans et al.,"Boumans, R; Costanza, R; Farley, J; Wilson, MA; Portela, R; Rotmans, J; Villa, F; Grasso, M",ECOLOGICAL ECONOMICS,2002,41,3,10.1016/S0921-8009(02)00098-8,162,Include,Global,Integrated Model
Web of Science,Probabilistic cost estimates for climate change mitigation,Rogelj et al.,"Rogelj, Joeri; McCollum, David L.; Reisinger, Andy; Meinshausen, Malte; Riahi, Keywan",NATURE,2013,493,7430,10.1038/nature11787,163,Exclude,,IAM only
Web of Science,Transdisciplinary global change research: the co-creation of knowledge for sustainability,Mauser et al.,"Mauser, Wolfram; Klepper, Gernot; Rice, Martin; Schmalzbauer, Bettina Susanne; Hackmann, Heide; Leemans, Rik; Moore, Howard",CURRENT OPINION IN ENVIRONMENTAL SUSTAINABILITY,2013,5,4-Mar,10.1016/j.cosust.2013.07.001,164,Follow Up,,Commentary
Web of Science,What might we learn from climate forecasts?,Smith,"Smith, LA",PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,2002,99,NA,10.1073/pnas.012580599,165,Exclude,,
Web of Science,Improving the contribution of climate model information to decision making: the value and demands of robust decision frameworks,Weaver et al.,"Weaver, Christopher P.; Lempert, Robert J.; Brown, Casey; Hall, John A.; Revell, David; Sarewitz, Daniel",WILEY INTERDISCIPLINARY REVIEWS-CLIMATE CHANGE,2013,4,1,10.1002/wcc.202,166,Exclude,,
Web of Science,The Kuramoto model in complex networks,Rodrigues et al.,"Rodrigues, Francisco A.; Peron, Thomas K. D. M.; Ji, Peng; Kurths, Juergen",PHYSICS REPORTS-REVIEW SECTION OF PHYSICS LETTERS,2016,610,NA,10.1016/j.physrep.2015.10.008,167,Exclude,,
Web of Science,The ethics of Google Earth: Crossing thresholds from spatial data to landscape visualisation,Sheppard et al.,"Sheppard, Stephen R. J.; Cizek, Petr",JOURNAL OF ENVIRONMENTAL MANAGEMENT,2009,90,6,10.1016/j.jenvman.2007.09.012,168,Exclude,,
Web of Science,Review of Russian literature on biological action of DC and low-frequency AC magnetic fields,Zhadin,"Zhadin, MN",BIOELECTROMAGNETICS,2001,22,1,10.1002/1521-186X(200101)22:1<27::AID-BEM4>3.0.CO;2-2,169,Exclude,,
Web of Science,Recent advances in percolation theory and its applications,Saberi et al.,"Saberi, Abbas Ali",PHYSICS REPORTS-REVIEW SECTION OF PHYSICS LETTERS,2015,578,NA,10.1016/j.physrep.2015.03.003,170,Exclude,,
Web of Science,Circadian timing of metabolism in animal models and humans,Dibner et al.,"Dibner, C.; Schibler, U.",JOURNAL OF INTERNAL MEDICINE,2015,277,5,10.1111/joim.12347,171,Exclude,,
Web of Science,Swarm intelligence systems for transportation engineering: Principles and applications,Teodorovic et al.,"Teodorovic, Dusan",TRANSPORTATION RESEARCH PART C-EMERGING TECHNOLOGIES,2008,16,6,10.1016/j.trc.2008.03.002,172,Exclude,,
Web of Science,Biotic and Human Vulnerability to Projected Changes in Ocean Biogeochemistry over the 21st Century,Mora et al.,"Mora, Camilo; Wei, Chih-Lin; Rollo, Audrey; Amaro, Teresa; Baco, Amy R.; Billett, David; Bopp, Laurent; Chen, Qi; Collier, Mark; Danovaro, Roberto; Gooday, Andrew J.; Grupe, Benjamin M.; Halloran, Paul R.; Ingels, Jeroen; Jones, Daniel O. B.; Levin, Lisa A.; Nakano, Hideyuki; Norling, Karl; Ramirez-Llodra, Eva; Rex, Michael; Ruhl, Henry A.; Smith, Craig R.; Sweetman, Andrew K.; Thurber, Andrew R.; Tjiputra, Jerry F.; Usseglio, Paolo; Watling, Les; Wu, Tongwen; Yasuhara, Moriaki",PLOS BIOLOGY,2013,11,10,10.1371/journal.pbio.1001682,173,Exclude,,
Web of Science,Environmental model access and interoperability: The GEO Model Web initiative,Nativi et al.,"Nativi, Stefano; Mazzetti, Paolo; Geller, Gary N.",ENVIRONMENTAL MODELLING & SOFTWARE,2013,39,NA,10.1016/j.envsoft.2012.03.007,174,Exclude,,
Web of Science,Land use and climatic impacts on the Rhine system (RheinLUCIFS): Quantifying sediment fluxes and human impact with available data,Houben et al.,"Houben, Peter; Hoffmann, Thomas; Zimmermann, Andreas; Dikau, Richard",CATENA,2006,66,2-Jan,10.1016/j.catena.2005.07.009,175,Exclude,,
Web of Science,A Global System for Monitoring Ecosystem Service Change,Tallis et al.,"Tallis, Heather; Mooney, Harold; Andelman, Sandy; Balvanera, Patricia; Cramer, Wolfgang; Karp, Daniel; Polasky, Stephen; Reyers, Belinda; Ricketts, Taylor; Running, Steve; Thonicke, Kirsten; Tietjen, Britta; Walz, Ariane",BIOSCIENCE,2012,62,11,10.1525/bio.2012.62.11.7,176,Exclude,,
Web of Science,Transport modeling by multi-agent systems: A swarm intelligence approach,Teodorovic et al.,"Teodorovic, DA",TRANSPORTATION PLANNING AND TECHNOLOGY,2003,26,4,10.1080/0308106032000154593,177,Exclude,,
Web of Science,The trajectory of geomorphology,Church et al.,"Church, Michael",PROGRESS IN PHYSICAL GEOGRAPHY,2010,34,3,10.1177/0309133310363992,178,Exclude,,
Web of Science,Superconductivity and the environment: a Roadmap,Nishijima et al.,"Nishijima, Shigehiro; Eckroad, Steven; Marian, Adela; Choi, Kyeongdal; Kim, Woo Seok; Terai, Motoaki; Deng, Zigang; Zheng, Jun; Wang, Jiasu; Umemoto, Katsuya; Du, Jia; Febvre, Pascal; Keenan, Shane; Mukhanov, Oleg; Cooley, Lance D.; Foley, Cathy P.; Hassenzahl, William V.; Izumi, Mitsuru",SUPERCONDUCTOR SCIENCE & TECHNOLOGY,2013,26,11,10.1088/0953-2048/26/11/113001,179,Exclude,,
Web of Science,Advancing urban sustainability theory and action: Challenges and opportunities,Childers et al.,"Childers, Daniel L.; Pickett, Steward T. A.; Grove, J. Morgan; Ogden, Laura; Whitmer, Alison",LANDSCAPE AND URBAN PLANNING,2014,125,NA,10.1016/j.landurbplan.2014.01.022,180,Exclude,,
Web of Science,Assessing Vulnerability to Climate Change in Dryland Livelihood Systems: Conceptual Challenges and Interdisciplinary Solutions,Fraser et al.,"Fraser, Evan D. G.; Dougill, Andrew J.; Hubacek, Klaus; Quinn, Claire H.; Sendzimir, Jan; Termansen, Mette",ECOLOGY AND SOCIETY,2011,16,3,10.5751/ES-03402-160303,181,Exclude,,
