temp,year,var,model,scenario,ens,yrs,regrid
288.1167603,2009,tas,ACCESS1-3,rcp45,r1i1p1,2006-2100,r360x180.nc
288.0101013,2010,tas,ACCESS1-3,rcp45,r1i1p1,2006-2100,r360x180.nc
288.0334167,2011,tas,ACCESS1-3,rcp45,r1i1p1,2006-2100,r360x180.nc
288.0505371,2012,tas,ACCESS1-3,rcp45,r1i1p1,2006-2100,r360x180.nc
288.1874695,2013,tas,ACCESS1-3,rcp45,r1i1p1,2006-2100,r360x180.nc
288.0458069,2014,tas,ACCESS1-3,rcp45,r1i1p1,2006-2100,r360x180.nc
288.0450745,2015,tas,ACCESS1-3,rcp45,r1i1p1,2006-2100,r360x180.nc
287.9488525,2016,tas,ACCESS1-3,rcp45,r1i1p1,2006-2100,r360x180.nc
288.1749878,2017,tas,ACCESS1-3,rcp45,r1i1p1,2006-2100,r360x180.nc
288.2387695,2018,tas,ACCESS1-3,rcp45,r1i1p1,2006-2100,r360x180.nc
288.2320557,2019,tas,ACCESS1-3,rcp45,r1i1p1,2006-2100,r360x180.nc
288.1323242,2020,tas,ACCESS1-3,rcp45,r1i1p1,2006-2100,r360x180.nc
288.2382507,2021,tas,ACCESS1-3,rcp45,r1i1p1,2006-2100,r360x180.nc
288.2975159,2022,tas,ACCESS1-3,rcp45,r1i1p1,2006-2100,r360x180.nc
288.2694397,2023,tas,ACCESS1-3,rcp45,r1i1p1,2006-2100,r360x180.nc
288.3605652,2024,tas,ACCESS1-3,rcp45,r1i1p1,2006-2100,r360x180.nc
288.4378967,2025,tas,ACCESS1-3,rcp45,r1i1p1,2006-2100,r360x180.nc
288.471344,2026,tas,ACCESS1-3,rcp45,r1i1p1,2006-2100,r360x180.nc
288.466095,2027,tas,ACCESS1-3,rcp45,r1i1p1,2006-2100,r360x180.nc
288.3441772,2028,tas,ACCESS1-3,rcp45,r1i1p1,2006-2100,r360x180.nc
288.356781,2029,tas,ACCESS1-3,rcp45,r1i1p1,2006-2100,r360x180.nc
288.4389954,2030,tas,ACCESS1-3,rcp45,r1i1p1,2006-2100,r360x180.nc
288.4241638,2031,tas,ACCESS1-3,rcp45,r1i1p1,2006-2100,r360x180.nc
288.4532471,2032,tas,ACCESS1-3,rcp45,r1i1p1,2006-2100,r360x180.nc
288.5761719,2033,tas,ACCESS1-3,rcp45,r1i1p1,2006-2100,r360x180.nc
288.6421814,2034,tas,ACCESS1-3,rcp45,r1i1p1,2006-2100,r360x180.nc
288.4674377,2035,tas,ACCESS1-3,rcp45,r1i1p1,2006-2100,r360x180.nc
288.5498962,2036,tas,ACCESS1-3,rcp45,r1i1p1,2006-2100,r360x180.nc
288.5552673,2037,tas,ACCESS1-3,rcp45,r1i1p1,2006-2100,r360x180.nc
288.6688232,2038,tas,ACCESS1-3,rcp45,r1i1p1,2006-2100,r360x180.nc
288.7518616,2039,tas,ACCESS1-3,rcp45,r1i1p1,2006-2100,r360x180.nc
288.6465149,2040,tas,ACCESS1-3,rcp45,r1i1p1,2006-2100,r360x180.nc
288.7189941,2041,tas,ACCESS1-3,rcp45,r1i1p1,2006-2100,r360x180.nc
288.7102661,2042,tas,ACCESS1-3,rcp45,r1i1p1,2006-2100,r360x180.nc
